year,month,date,mean_score,score_ci,mean_probability,probability_ci,ai_percentage,ai_percentage_ci,n_papers
2021,1,2021-01,0.3428215439475718,0.009435250193079364,0.4605659655908346,0.0366080792290801,38.095238095238095,5.298558478706541,84
2021,2,2021-02,0.34118332288094927,0.008315680348694097,0.45547796664517665,0.03613437957772841,33.33333333333333,5.143444998736397,84
2021,3,2021-03,0.33523437487227575,0.009609407936303351,0.4271803947200879,0.038296439266658606,28.57142857142857,4.9290397095882446,84
2021,4,2021-04,0.3361608141234943,0.008454481742153944,0.4280359455377297,0.03313530335802034,23.809523809523807,4.647143204516824,84
2021,5,2021-05,0.3367236464856619,0.009265852443387972,0.4361029263122791,0.03766883065424116,27.710843373493976,4.912724438453853,83
2021,6,2021-06,0.34852604980928353,0.012283988742591323,0.4725666850139829,0.04255501722121069,33.734939759036145,5.189711572826598,83
2021,7,2021-07,0.3434016446033156,0.011052077771482009,0.4523222172198674,0.03970595760793237,33.734939759036145,5.189711572826598,83
2021,8,2021-08,0.3420414569148098,0.012820243029042775,0.44405774729847564,0.04232696445606289,27.710843373493976,4.912724438453853,83
2021,9,2021-09,0.3364040781575513,0.009268385101191327,0.43550736781016197,0.03762677551687067,24.096385542168676,4.694270742881184,83
2021,10,2021-10,0.34285681578050176,0.012178320313744917,0.4447629740099545,0.035447470301016464,31.32530120481928,5.091045321816183,83
2021,11,2021-11,0.34122188766318634,0.012483299970127527,0.4376925331020323,0.04101534885983996,24.096385542168676,4.694270742881184,83
2021,12,2021-12,0.3450871285903885,0.010181783767916522,0.4690270513797155,0.04066907856761681,38.55421686746988,5.342480413597767,83
2022,1,2022-01,0.3434594871387595,0.012745734334896595,0.4524490647532349,0.04153397529648482,34.523809523809526,5.187539475862043,84
2022,2,2022-02,0.34455406949633643,0.010315452719336652,0.4591958584461127,0.03763511141474102,27.380952380952383,4.865303157988617,84
2022,3,2022-03,0.3511433574770178,0.014190517757886458,0.47589133606463846,0.037691865958015,38.095238095238095,5.29855847870654,84
2022,4,2022-04,0.3342075097773756,0.010575403863724337,0.4156283109047192,0.03628938390214957,20.238095238095237,4.383721273268418,84
2022,5,2022-05,0.33888687642223864,0.013114388356380685,0.4290753194040923,0.042533883592437795,25.301204819277107,4.771867251686626,83
2022,6,2022-06,0.32797209864639376,0.006524782933474755,0.3993625864166148,0.029332924576048153,25.301204819277107,4.771867251686626,83
2022,7,2022-07,0.3290167696863772,0.008371111968221965,0.40180890102050865,0.03319929869002734,19.27710843373494,4.329923806068145,83
2022,8,2022-08,0.34182961769850856,0.011002068377635557,0.4487870275193049,0.04175594521385114,30.120481927710845,5.035781320569504,83
2022,9,2022-09,0.34930001378777514,0.013716287523176574,0.4752983672500392,0.04272671648148752,38.55421686746988,5.342480413597767,83
2022,10,2022-10,0.3487743810716882,0.012984812168535613,0.4681276907641657,0.03989750024361434,31.32530120481928,5.091045321816183,83
2022,11,2022-11,0.3408995046313987,0.008794587413529854,0.4541345530009768,0.03443524037800836,34.93975903614458,5.233337461819605,83
2022,12,2022-12,0.3520010203482157,0.012973195653677124,0.48398108215230023,0.041279461617362116,38.55421686746988,5.342480413597767,83
2023,1,2023-01,0.343514083219426,0.012092646194198978,0.44758977571765407,0.0377150827125601,29.761904761904763,4.9885816062352735,84
2023,2,2023-02,0.3449645714745635,0.008998055295377545,0.47071679107087255,0.03678158438340506,35.714285714285715,5.228036105081427,84
2023,3,2023-03,0.33924297491709393,0.007417196855875013,0.4473906016861812,0.03345306181666699,30.952380952380953,5.044077395247556,84
2023,4,2023-04,0.33565037236327216,0.009726720864690017,0.42292628444546815,0.03387547344977967,22.61904761904762,4.564724274143248,84
2023,5,2023-05,0.3498762433069298,0.011101517968895757,0.4865094714589238,0.04090019358479765,44.57831325301205,5.4558527353742585,83
2023,6,2023-06,0.3445930294243686,0.011329130140869125,0.4541521754388432,0.03797952057224415,28.915662650602407,4.976390909926104,83
2023,7,2023-07,0.35252679794667713,0.009891732570194977,0.49873045300956487,0.03729296036525129,48.19277108433735,5.484626843295494,83
2023,8,2023-08,0.3450653793581997,0.011809154738644734,0.4590259095057633,0.037382164406187655,40.963855421686745,5.397844383629205,83
2023,9,2023-09,0.3497954610600529,0.01059356460822359,0.4894415340115957,0.043237181646731154,43.373493975903614,5.439801353912796,83
2023,10,2023-10,0.3524531441998769,0.010908976482925077,0.4938290985434509,0.039968444050008774,38.55421686746988,5.342480413597767,83
2023,11,2023-11,0.3522069605000048,0.014776130837478255,0.4773792386106351,0.03743539527762933,36.144578313253014,5.2732871825292005,83
2023,12,2023-12,0.3565508051809058,0.01594739265531088,0.49091283754199216,0.045073093359324704,33.734939759036145,5.189711572826598,83
2024,1,2024-01,0.35713062506346477,0.017620049254207584,0.49054641869995924,0.040953103439716275,45.23809523809524,5.430649639993698,84
2024,2,2024-02,0.3470835316748846,0.011117492391913198,0.4723895183984067,0.041354210289907434,39.285714285714285,5.32872280064398,84
2024,3,2024-03,0.3406160459631965,0.009317977917289685,0.4498886750423586,0.03800351528518303,30.952380952380953,5.044077395247558,84
2024,4,2024-04,0.33649468421936035,0.008952805315458227,0.43271096371474804,0.03459277228214676,26.190476190476193,4.797204761460324,84
2024,5,2024-05,0.34281560904290304,0.008215298103949399,0.46184143053339666,0.034736997939153684,31.32530120481928,5.091045321816183,83
2024,6,2024-06,0.3544857979538929,0.010156827961867952,0.5096142469791062,0.041735412097264925,46.98795180722892,5.478245658071002,83
