year,month,date,mean_score,score_ci,ai_percentage,ai_percentage_ci,n_papers
2021,1,2021-01,5.18359375,0.18900885767647221,2.380952380952381,1.6634241214423142,84
2021,2,2021-02,5.188988095238095,0.15321405313900682,0.0,0.0,84
2021,3,2021-03,5.066778273809524,0.18902536665199082,3.571428571428571,2.024809676835147,84
2021,4,2021-04,5.1594122023809526,0.15755887912914793,0.0,0.0,84
2021,5,2021-05,5.071159638554217,0.17766506087886805,4.819277108433735,2.3508580309907043,83
2021,6,2021-06,5.285579819277109,0.2045034180056523,2.4096385542168677,1.6832180075559027,83
2021,7,2021-07,5.185052710843373,0.17986694046157148,0.0,0.0,83
2021,8,2021-08,5.276355421686747,0.23673933781827458,3.614457831325301,2.0487477154161535,83
2021,9,2021-09,5.0192018072289155,0.18779990925008935,4.819277108433735,2.350858030990705,83
2021,10,2021-10,5.202371987951807,0.23622464612465605,2.4096385542168677,1.6832180075559027,83
2021,11,2021-11,5.128200301204819,0.20391302943994627,1.2048192771084338,1.1975393356738475,83
2021,12,2021-12,5.271084337349397,0.19280425060531184,2.4096385542168677,1.6832180075559027,83
2022,1,2022-01,5.248697916666667,0.2506123707542633,2.380952380952381,1.6634241214423142,84
2022,2,2022-02,5.233072916666667,0.19574913981843103,0.0,0.0,84
2022,3,2022-03,5.375186011904762,0.2599658098047385,1.1904761904761905,1.1833688064142915,84
2022,4,2022-04,5.0625,0.215183248174989,2.380952380952381,1.6634241214423142,84
2022,5,2022-05,5.156626506024097,0.24492718084342885,7.228915662650602,2.842522095382743,83
2022,6,2022-06,5.002635542168675,0.17250151833894276,3.614457831325301,2.048747715416153,83
2022,7,2022-07,4.953689759036145,0.18747639576750094,6.024096385542169,2.6116511448339,83
2022,8,2022-08,5.143072289156627,0.2091598626512332,1.2048192771084338,1.1975393356738473,83
2022,9,2022-09,5.175640060240964,0.22844381991995588,3.614457831325301,2.048747715416153,83
2022,10,2022-10,5.318147590361446,0.23849123852318665,0.0,0.0,83
2022,11,2022-11,5.24585843373494,0.18615855252686242,2.4096385542168677,1.6832180075559027,83
2022,12,2022-12,5.238704819277109,0.20806597547788613,2.4096385542168677,1.6832180075559027,83
2023,1,2023-01,5.233258928571429,0.2177455672406476,2.380952380952381,1.6634241214423142,84
2023,2,2023-02,5.161272321428571,0.17803926840072368,2.380952380952381,1.6634241214423142,84
2023,3,2023-03,5.166480654761905,0.16834632479282968,1.1904761904761905,1.1833688064142915,84
2023,4,2023-04,5.092261904761905,0.18753524456560802,2.380952380952381,1.6634241214423142,84
2023,5,2023-05,5.355986445783133,0.20068765140472847,2.4096385542168677,1.6832180075559027,83
2023,6,2023-06,5.333207831325301,0.2271508135106772,0.0,0.0,83
2023,7,2023-07,5.509036144578313,0.2070984673317045,1.2048192771084338,1.1975393356738473,83
2023,8,2023-08,5.235504518072289,0.22862563004006323,1.2048192771084338,1.1975393356738473,83
2023,9,2023-09,5.469691265060241,0.23013411900146757,1.2048192771084338,1.1975393356738473,83
2023,10,2023-10,5.476468373493976,0.20054400334403708,0.0,0.0,83
2023,11,2023-11,5.563629518072289,0.25995958053754314,1.2048192771084338,1.1975393356738473,83
2023,12,2023-12,5.501694277108434,0.2574590078153379,4.819277108433735,2.3508580309907043,83
2024,1,2024-01,5.575148809523809,0.3158417532454683,3.571428571428571,2.024809676835147,84
2024,2,2024-02,5.396019345238095,0.21901992533278947,2.380952380952381,1.6634241214423142,84
2024,3,2024-03,5.239955357142857,0.184297969725565,1.1904761904761905,1.1833688064142915,84
2024,4,2024-04,5.418154761904762,0.20925534689117578,2.380952380952381,1.6634241214423142,84
2024,5,2024-05,5.371234939759036,0.16139529900762115,1.2048192771084338,1.1975393356738473,83
2024,6,2024-06,5.677334337349397,0.1994712767760161,0.0,0.0,83
2024,7,2024-07,5.5530873493975905,0.2586212830336626,2.4096385542168677,1.6832180075559027,83
2024,8,2024-08,5.367281626506024,0.1840833862494018,0.0,0.0,83
2024,9,2024-09,5.556664156626506,0.22403900321545694,1.2048192771084338,1.1975393356738473,83
2024,10,2024-10,5.609375,0.2222258275059201,0.0,0.0,83
2024,11,2024-11,5.681099397590361,0.187070445555355,0.0,0.0,83
2024,12,2024-12,5.608245481927711,0.2241253205661679,0.0,0.0,83
