year,month,date,mean_score,score_ci,ai_percentage,ai_percentage_ci,n_papers
2021,1,2021-01,7.477782192684355,0.32954401670386285,0.0,0.0,84
2021,2,2021-02,7.627272021202814,0.29205644409721837,0.0,0.0,84
2021,3,2021-03,7.451529746963864,0.33390668794499845,1.1904761904761905,1.1833688064142915,84
2021,4,2021-04,7.5133986387934,0.3239746448526799,0.0,0.0,84
2021,5,2021-05,7.364710853760501,0.2739956896970886,0.0,0.0,83
2021,6,2021-06,7.854334894433079,0.32612958747041926,0.0,0.0,83
2021,7,2021-07,7.5734210876097166,0.341757266062103,0.0,0.0,83
2021,8,2021-08,7.504989784884166,0.3336581242003657,0.0,0.0,83
2021,9,2021-09,7.205142773777606,0.2937349623968577,0.0,0.0,83
2021,10,2021-10,7.472510579120682,0.3713654041601718,0.0,0.0,83
2021,11,2021-11,7.634980230446321,0.3837846635581053,0.0,0.0,83
2021,12,2021-12,7.674706654376294,0.30554767378774567,0.0,0.0,83
2022,1,2022-01,7.463142588025048,0.36370305480895143,0.0,0.0,84
2022,2,2022-02,7.519998215493702,0.3094677155444893,0.0,0.0,84
2022,3,2022-03,7.732228667963119,0.39337957948538466,0.0,0.0,84
2022,4,2022-04,7.370274606205168,0.3225601999777494,0.0,0.0,84
2022,5,2022-05,7.521237947854651,0.3749013970071452,0.0,0.0,83
2022,6,2022-06,7.1927319836903765,0.2817338249572904,0.0,0.0,83
2022,7,2022-07,7.229615768754338,0.2984520734686114,0.0,0.0,83
2022,8,2022-08,7.377512334341026,0.33023341784483995,0.0,0.0,83
2022,9,2022-09,7.7086729716105635,0.3809647300488569,1.2048192771084338,1.1975393356738473,83
2022,10,2022-10,7.52416109751506,0.34924971472573163,0.0,0.0,83
2022,11,2022-11,7.330350956284856,0.31782802925331766,1.2048192771084338,1.1975393356738473,83
2022,12,2022-12,7.697467588516603,0.3594808522764353,0.0,0.0,83
2023,1,2023-01,7.459696695918129,0.37783192962239975,0.0,0.0,84
2023,2,2023-02,7.409142301196144,0.26551724809874017,0.0,0.0,84
2023,3,2023-03,7.415803591410319,0.2748615313471214,0.0,0.0,84
2023,4,2023-04,7.272663610322135,0.3429987801163474,0.0,0.0,84
2023,5,2023-05,7.636687948043088,0.3323868397245783,0.0,0.0,83
2023,6,2023-06,7.692033434488687,0.34420527185872896,0.0,0.0,83
2023,7,2023-07,7.8466224957661455,0.3192914029085206,0.0,0.0,83
2023,8,2023-08,7.564052248575601,0.32333641321020457,0.0,0.0,83
2023,9,2023-09,7.949405365679637,0.3510942174512691,0.0,0.0,83
2023,10,2023-10,7.852723753595927,0.3389065721458625,0.0,0.0,83
2023,11,2023-11,8.07008776032781,0.44035273861726887,0.0,0.0,83
2023,12,2023-12,8.127767499670925,0.40611256806206875,0.0,0.0,83
2024,1,2024-01,8.158045195397877,0.5274958605778147,0.0,0.0,84
2024,2,2024-02,8.021866253444127,0.38476502644924887,0.0,0.0,84
2024,3,2024-03,7.398939728736877,0.31436094068997844,0.0,0.0,84
2024,4,2024-04,7.923566511699131,0.36996214420021195,0.0,0.0,84
2024,5,2024-05,7.747795004442514,0.28185428742881175,0.0,0.0,83
2024,6,2024-06,8.253900683069803,0.33387784929852876,0.0,0.0,83
2024,7,2024-07,8.116978765970254,0.41464523609832044,0.0,0.0,83
2024,8,2024-08,7.714945385255009,0.3681309978740317,0.0,0.0,83
2024,9,2024-09,8.05498663775892,0.3462149109074103,0.0,0.0,83
2024,10,2024-10,8.263317596481507,0.35423223247236973,0.0,0.0,83
2024,11,2024-11,8.560553188783576,0.3480057180478644,0.0,0.0,83
2024,12,2024-12,8.229875800121262,0.3379098734013858,0.0,0.0,83
